,Cation Concentration Summary Report,,,,,,
,,,,,,,
No. ,Name ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Sodium,Ammonia,Potassium,Magnesium,Calcium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,200 ppm Anion  Std,0.16,1.09,1.62,2.42,1.48,2.91  
3,DI water,n.a.,0.13,n.a.,n.a.,n.a.,n.a.
4,C-1600x,n.a.,0.25,n.a.,0.23,0.41,0.73  
5,C-800x,n.a.,0.36,n.a.,0.55,0.58,1.03  
6,C-400x,0.03,0.63,0.17,1.18,0.88,1.74  
7,C-200x,0.17,1.10,1.59,2.44,1.47,2.88  
8,C-20x,2.59,10.04,16.30,25.44,12.66,25.53  
9,C-5x,10.50,39.15,48.08,99.82,48.09,96.40  
10,C-2x,24.79,100.34,126.26,250.03,125.74,251.38  
11,DOC_CMPS_KFP_0426,n.a.,0.47,n.a.,1.48,0.74,2.27  
12,DOC_CMPS_KFP_0427,n.a.,0.36,n.a.,1.18,0.34,0.66  
13,DOC_CMPS_KFP_0428,n.a.,0.50,n.a.,1.90,0.62,2.23  
14,DOC_CMPS_KFP_0429,n.a.,0.41,n.a.,1.44,0.37,0.97  
15,DOC_CMPS_KFP_0430,n.a.,0.46,n.a.,2.13,0.48,1.14  
16,DOC_CMPS_KFP_0431,n.a.,0.49,n.a.,1.10,0.34,0.63  
17,DOC_CMPS_KFP_0432,n.a.,0.53,n.a.,1.08,0.42,1.08  
18,DOC_CMPS_KFP_0433,n.a.,0.67,n.a.,1.38,0.69,1.89  
19,DOC_CMPS_KFP_0434,n.a.,21.51,n.a.,2.98,0.52,0.79  
20,DOC_CMPS_KFP_0435,n.a.,3.40,n.a.,1.23,0.47,0.71  
21,C-20x,2.50,9.51,16.11,25.07,12.76,25.31  
